-0.261799387799 0.261799387799
0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.035414181271,1.000000000000,0.089088204920,1.000000000000,0.020281959528,1.000000000000,0.028491324730,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.089808138657,1.000000000000,0.122219116747,1.000000000000,0.114814929390,1.000000000000,0.130412413594,1.000000000000,0.113797546214,1.000000000000,0.014337687431,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.234709378586,1.000000000000,0.146990407973,1.000000000000,0.051065089725,0.711444076969,0.043670489859,0.783733115568,0.147145163335,1.000000000000,0.214858465043,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0.936481612553,0.184858906739,1.000000000000,0.161549596958,0.943144332527,0.161554615107,0.620829502356,0.067418042874,0.356902248205,0.082746037169,0.514116125111,0.203916917653,1.000000000000,0.317447188453,1.000000000000,0.287573043188,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.067929034272,0.813891356399,0.109300764055,0.903609437724,0.175933747499,0.613101080265,0.124122221266,0.364503521974,0.054759766088,0.188412629587,0.030938866664,0.298967830183,0.282235407168,0.779966728748,0.357371122313,1.000000000000,0.282510872029,1.000000000000,0.132586520083,1.000000000000,0.000000000000,0.937801198802,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.007832971202,0.965249570975,0.059930128611,0.997278209889,0.083313513658,0.803204071805,0.053409695924,0.552439023689,0.153729223560,0.427355253830,0.141808093427,0.340053064942,0.182240705147,0.289922711617,0.122578057347,0.233738837856,0.117400656843,0.413377223016,0.301436370410,0.825785117204,0.125601739744,1.000000000000,0.197618187967,1.000000000000,0.043166080973,0.891916464391,0.021330226136,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0.855185024860,0.000000000000,1.000000000000,0.000000000000,0.962030859000,0.000000000000,0.977835617541,0.073131047093,0.971461878069,0.044835523688,0.731304427113,0.096538943752,0.561207704895,0.170914335287,0.507653621551,0.257269657948,0.565443249151,0.415596515869,0.590716085785,0.430394086955,0.602552264047,0.320603544445,0.697282549253,0.255772167159,0.732895973325,0.073657005304,0.744639118304,0.174064998377,1.000000000000,0.005328552563,1.000000000000,0.006004766856,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0.944690750559,0.000000000000,0.980612557395,0.037015694244,1.000000000000,0.090010954787,0.944838889444,0.130749468244,0.736088684569,0.177564118855,0.701773853537,0.291407631732,0.808431223123,0.457180333925,0.816885558456,0.477211808798,0.809092206203,0.390007912926,0.908916050719,0.265952914232,1.000000000000,0.150487725106,0.953065905641,0.061322828592,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.013113920747,0.977394163216,0.155094992735,0.849707653939,0.162159275411,0.890564141675,0.271468355748,0.995429953530,0.404833612733,0.933502065621,0.406730314563,0.935734786906,0.364719496391,1.000000000000,0.272752519958,1.000000000000,0.096543074724,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.091681678583,1.000000000000,0.214716143173,1.000000000000,0.295787856198,0.983660665835,0.324640287575,1.000000000000,0.252192376824,1.000000000000,0.212753987460,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000040493785,1.000000000000,0.051716639761,1.000000000000,0.235264867724,1.000000000000,0.190953341366,1.000000000000,0.181581937366,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.030367485786,1.000000000000,0.097817994667,1.000000000000,0.071126112724,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.004043571488,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0.794454875871,0.000000000000,0.841927726343,0.000000000000,0.987043003578,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0.998903875953,0.000000000000,0.940690327039,0.000000000000,0.956558501501,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000
-0.003000000000 0.000000000000 | 0.899226415094 3.423303599678
-0.003000000000 0.000000000000 | 0.591463468497 -2.247764876167
0.109320764997 -1.379352950251 | 0.465786949920 -1.767715936277
0.067578197816 -0.394948734264 | 0.434543039280 -1.648372988598
0.065449184066 -0.297439913383 | 0.437844934062 0.405010990323
0.100638692363 -0.159575026740 | 0.484155935126 0.526698784700
0.240327427914 -0.384452340103 | 0.691679245283 1.315666032478
0.312821550901 -0.452845687480 | 0.556401500021 -1.073455266686
0.336354531841 -0.889073352201 | 0.545413763003 -0.513282652251
0.350756705438 -0.201646229641 | 0.535527419812 -0.233072161800
0.383741633536 0.314858846852 | 0.477479859807 0.003307262112
0.391943190605 0.374751532437 | 0.446399658589 0.445806117992
0.402801270633 0.633679274365 | 0.498283018868 0.871661766696
0.425985205683 1.079687988146 | 0.517150943396 1.266044073819
0.344618847040 1.054156436862 | 0.570004968614 1.889513794732
0.338955585577 1.495106645159 | 0.771867924528 2.937342312643
0.309331753290 1.767219588921 | 0.710547169811 2.703687224172
0.175474667816 1.230888198756 | 0.852056603774 3.243470676474
-0.003000000000 0.000000000000 | 0.795452830189 3.027568878570
-0.003000000000 0.000000000000 | 0.837905660377 3.189164810371
-0.003000000000 0.000000000000 | 0.823754716981 3.134877350062
0.038303350519 -0.015728232337 | 0.661050123137 -2.355794524256
0.110025701820 -1.605826277260 | 0.658796099045 -1.699423970892
0.178347163884 0.626313077966 | 0.583678604414 -0.685364191476
0.245998498276 1.043173419766 | 0.549116983166 0.643486984227
0.358905997007 0.376679448385 | 0.588436725691 0.582906471719
0.578290057410 -0.046558175765 | 0.629232623935 0.003412828840
0.629075471698 -0.184471548400 | 0.754563214520 0.226599199097
0.731343208671 0.234217630196 | 0.913377358491 0.746195865332
0.688132058623 -0.225715871731 | 0.988849056604 0.633369999720
0.707694598501 -0.576285642867 | 0.913377358491 -0.641263896549
0.605490566038 -1.137162996865 | 0.855808912881 -0.258003067213
0.412094339623 -1.272729518890 | 0.810738529229 0.227554087655
0.440396226415 0.004904195782 | 0.705247492047 0.628144325285
0.484414003210 0.099114913214 | 0.701858832418 0.861246344868
0.519916498861 0.322205402769 | 0.776584905660 1.171948080609
0.474945335762 0.599080928173 | 0.766625826159 -0.058077530502
0.335109733884 0.406495250465 | 0.770154519867 0.276726836721
0.048837318895 -0.052431148665 | 0.770769797022 -0.560859235774
-0.003000000000 0.000000000000 | 0.658665086834 -1.232290677436
0.040896773775 0.296684111063 | 0.637304763535 2.422865725041
0.127161186305 -0.136921618568 | 0.870924528302 2.389801112220
0.157377358491 -1.393836903535 | 0.635239948573 -0.779875476612
0.091068094979 -2.084293971883 | 0.578949361393 -0.282711514109
0.477835006111 0.452138688302 | 0.606934015379 0.312282871716
0.550254812711 0.464748270020 | 0.724698113208 0.207414936570
0.750637046357 0.465298178692 | 0.815574668547 0.390685460199
0.771896306961 0.508517295868 | 0.951200433206 1.032066370780
0.779185383938 0.411091689862 | 0.918103268516 0.269822943474
0.855490566038 0.134552995189 | 0.900145757753 0.206596116178
0.846996159670 -0.068453580065 | 0.927570226954 0.206906187928
0.852921938280 -0.074783009681 | 1.003000000000 0.475404512811
0.868414744442 -0.046372512021 | 0.895954670825 -0.033494343942
0.679007380385 -0.137002715814 | 0.951199258144 0.738484785261
0.472751939522 0.019478963843 | 0.899272742199 1.211337967122
0.468303777117 0.082399669303 | 0.823953909256 -0.206008789700
0.461692355806 -0.259324671197 | 0.770546213460 -0.128516681777
0.538367959791 -0.635321770063 | 0.755207073273 -0.076994885458
0.440439684164 -1.045703209126 | 0.804886792453 0.318492604338
0.229470192987 -1.582033186313 | 0.696926252278 -0.661978284803
0.043059465194 0.258331957017 | 0.574123622659 2.181531543905
0.187577991200 -0.293106068396 | 0.767150943396 1.683248221206
0.231026692522 -0.978000203137 | 0.588813854576 -0.617481440831
0.458366062679 0.454152505017 | 0.649073408680 -0.123669799799
0.375872692387 1.367465828928 | 0.734547876550 1.091993653823
0.558701263566 0.986977654275 | 0.757728833346 0.565493585506
0.600301045356 -0.142309898633 | 0.782677685759 0.138144529627
0.622751788702 0.346818737758 | 0.712195862596 0.058556390226
0.572471698113 0.034851338093 | 0.645194866871 0.295720655054
0.595439117480 0.241902538171 | 0.663134366265 0.339638329273
0.617313671867 0.141982485494 | 0.715268833769 0.467672627882
0.638476514103 -0.170127717873 | 0.777705316226 0.235107624109
0.732831867819 0.215476978181 | 0.832067070247 0.155761562323
0.726716394089 -0.486690198325 | 0.844921345217 -0.134302583793
0.666608801208 -0.835495598903 | 0.870924528302 -0.136606218937
0.583121913439 -0.983059521631 | 0.745183902352 -1.011548813371
0.473010303640 -1.014055345112 | 0.747338905192 -0.543846284366
0.450948029652 -0.592458950651 | 0.753000000000 -0.097588173807
0.461032110831 -0.639051962235 | 0.675764978539 -0.924221893184
0.281727298890 -1.599633192318 | 0.551153282024 -2.093791305749
0.142186118274 0.647834804596 | 0.505622155078 1.919875211717
0.227722054578 -0.448126885079 | 0.630685524795 0.896975725202
0.460087126597 -0.137748769715 | 0.677560776070 0.588717892276
0.147829835289 -1.431256193014 | 0.665372163926 0.410438855802
0.375627157331 1.088567603024 | 0.647722899267 0.738289173816
0.315439546047 1.143910195090 | 0.800255659627 2.317834714916
0.470437557493 0.368281647926 | 0.626647114415 -0.205166316634
0.496899777016 -0.406433827877 | 0.591556652184 -0.114165788374
0.478132075472 -0.374954981615 | 0.605754388358 0.053150839333
0.553572393497 0.336163621627 | 0.609368602829 0.246265741002
0.595172610591 0.260794197393 | 0.653943396226 0.462450701554
0.643226415094 0.095517033580 | 0.756437919891 0.505226045073
0.699852138838 0.337802022631 | 0.821790431891 0.599283629290
0.592639611496 -0.379838898062 | 0.913377358491 0.799038610814
0.606280796719 -0.597958826364 | 0.752904965400 -0.987798091319
0.520460976114 -1.252145915252 | 0.730783456044 -0.714976523307
0.421505630094 -0.896254276985 | 0.827738362785 0.003419252859
0.393226415094 -0.546621105840 | 0.823830333448 0.495314548095
0.369464425104 -0.860961440847 | 0.701671057236 -0.307134889796
0.337762431159 -1.490624326225 | 0.454163272087 -1.589595698280
0.309652312842 1.045235222291 | 0.451113207547 1.522200116386
0.407063124429 0.228501006669 | 0.567480637618 0.736590208921
0.348916952542 -0.430420047445 | 0.639792452830 0.658072684184
0.278840646588 -0.798167498676 | 0.597834455747 0.398310354677
0.086581886625 -1.270784151569 | 0.689682008200 0.555410843556
0.331625400544 0.782351939385 | 0.528544387754 1.364472920558
0.417271420994 0.427306924112 | 0.644526215699 0.958870208782
0.549482947915 0.064026795726 | 0.639792452830 -0.195303965481
0.593768998471 -0.266717955852 | 0.672811320755 -0.010019089014
0.530018867925 -0.470483788792 | 0.606496698123 -0.257166646848
0.515867924528 -0.063914927536 | 0.621841235365 0.254235226343
0.643221465247 0.567247861085 | 0.704086079629 0.586764345045
0.658504019287 0.120680907555 | 0.908660377358 1.050598046198
0.642700356261 -0.517417617357 | 0.922827609836 0.107145211019
0.501515956758 -1.425698894484 | 0.723354063899 -0.945534653458
0.497000000000 -0.198282016143 | 0.632072491084 -0.692004104816
0.503044175778 0.307063550677 | 0.712934069629 0.178633802723
0.511136028543 0.874879112189 | 0.788289500020 1.009176115909
0.353760343982 -0.250526621674 | 0.773723831274 0.523541970999
0.273879644612 -1.008743823048 | 0.592622641509 -0.474543946758
0.354653364914 1.124598506266 | 0.432245283019 1.114194928070
0.461998902733 0.377721560121 | 0.538492247238 0.584886564260
0.335549580977 -0.572782641630 | 0.528445647737 0.140059226650
0.278553073506 -0.735794939321 | 0.511183492834 -0.331067345980
0.143134446536 -1.285534200441 | 0.546516456995 0.232353269808
0.317726171400 0.930940155707 | 0.465017862139 0.722414828719
0.489951775999 0.611895031911 | 0.547942384493 0.658077755899
0.616116482233 0.134705775055 | 0.715311412872 0.404995322944
0.460947308220 -0.486541285714 | 0.639794512129 0.098362019571
0.242261174187 -1.116726971291 | 0.395928431281 -0.553314798825
0.242283018868 -0.011144335326 | 0.427428036007 0.672566778336
0.534160788531 0.776315664175 | 0.682245283019 1.318766791038
0.715739850785 0.211830744797 | 0.767392233584 0.256052621720
0.652506083144 -0.796360445967 | 0.722945300244 -0.586370773688
0.514631313679 -0.570686814981 | 0.703029658167 -0.881364823623
0.463981132075 -0.188237086894 | 0.520111558081 -0.343076169122
0.468698113208 -0.155265682222 | 0.563911499163 0.122798986777
0.571418482473 0.507528386128 | 0.837919656562 1.457959894621
0.385047908119 -0.047018332866 | 0.994157771476 2.160474771218
0.214450873214 -0.702689072771 | 0.564412564428 -1.713930335648
0.312125283558 0.874420114477 | 0.404071185752 0.598924350139
0.454547169811 0.181732157278 | 0.527490026022 0.419828202070
0.394953190556 -0.167054728570 | 0.494810846785 0.181141634765
0.301651077418 -0.601390693171 | 0.592622641509 0.485991063411
0.199809058366 -1.040760626995 | 0.413417154332 -0.251318404842
0.242283018868 -0.767070093657 | 0.479087275333 0.080717512644
0.535415203676 0.346495726812 | 0.649265135055 0.644253789227
0.496988348031 0.124631119809 | 0.520341727432 0.143481202442
0.330135986896 -0.244066400209 | 0.399226415094 -0.011459482814
0.152660377358 -0.473661825726 | 0.236164275439 -0.177979488556
0.195113207547 0.094948850025 | 0.296177459048 0.457580486681
0.499251802947 0.675411357120 | 0.550169811321 0.680331487781
0.729943765033 0.286522202314 | 0.790747400776 0.495152111780
0.734497001946 0.011021447132 | 0.903974916597 0.635817884769
0.407377358491 -0.863795127337 | 0.596987377321 -0.192957709244
0.447207453405 -0.209271465779 | 0.488849056604 -0.085228754213
0.426245283019 -0.224628058429 | 0.475674467726 -0.058763551097
0.475267049227 -0.132079215747 | 0.767172292037 0.320554745814
0.433926800356 -0.292487110462 | 0.842652490397 -1.075704389016
0.243902849990 -1.384101888025 | 0.528521377317 -1.625785926472
0.280018867925 -0.181822617276 | 0.421149674651 0.307641522560
0.428157837139 0.269176266302 | 0.521867924528 0.584056533462
0.422186093329 0.308281549521 | 0.476550401649 0.273186359340
0.366509344410 -0.232023629074 | 0.521867924528 0.336362277348
0.338595484020 -0.654545961231 | 0.407188443259 -0.648158882803
0.390451149924 0.051217376724 | 0.507716981132 0.434688050924
0.393937644432 0.585408113802 | 0.451113207547 0.780022168404
0.340233756285 0.206383399981 | 0.399226415094 0.280578267138
0.228132075472 -0.101071645819 | 0.242421810795 -0.088402056489
0.086622641509 -0.250673473852 | 0.129597356822 -0.109606926256
0.091339622642 -0.019161600239 | 0.179168050108 0.293294256179
0.427953067197 0.224490915612 | 0.573755173212 0.750325498935
0.637888959589 -0.097125036137 | 0.734136787466 0.103305638262
0.717900180887 -0.435432257356 | 0.842626821830 -0.049554113674
0.592936089605 -0.022743345254 | 0.658701683830 -0.041672164508
0.409963469169 -0.189968120326 | 0.453377385541 -0.158684113252
0.407054905810 -0.156558068562 | 0.466541838794 -0.014281423350
0.464986647535 -0.486305052749 | 0.589307856929 -0.867400206361
0.525319189259 -1.195792772458 | 0.800169811321 -0.413630682659
0.147914456566 -1.928511101775 | 0.493259487830 -1.407974266341
0.314642197345 -0.091271218326 | 0.395606724440 0.156910605125
0.392793007812 0.293794498519 | 0.465264150943 0.544328796808
0.391396125418 0.410488716248 | 0.436967883662 0.384446521387
