2.879793265791 3.403392041389
0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0.549922786778,0.029651692919,0.369301473610,0.046243628143,0.588248170677,0.000000000000,0.722866434499,0.000000000000,1.000000000000,0.000000000000,0.760259094143,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.166515614777,1.000000000000,0.061911745525,1.000000000000,0.000000000000,0.636745946142,0.018200806313,0.326522393879,0.049330306630,0.664455927729,0.086844588380,0.981780623653,0.000000000000,0.942163705389,0.000000000000,0.950485115385,0.000000000000,1.000000000000,0.234842147878,1.000000000000,0.303339157592,1.000000000000,0.190697291064,1.000000000000,0.082703148349,0.552006244885,0.068071051646,0.433602811932,0.133724555690,0.833901877028,0.162882889204,1.000000000000,0.173933900482,1.000000000000,0.000000000000,0.972405532230,0.064286228218,1.000000000000,0.222234349239,1.000000000000,0.388770401449,1.000000000000,0.345135259341,0.997114951905,0.148354345171,0.525635696484,0.151351783114,0.514609194333,0.312144254437,0.928729821323,0.327355253291,1.000000000000,0.191979045385,1.000000000000,0.028020836303,0.793934996649,0.158531871203,1.000000000000,0.387182585806,1.000000000000,0.525932604586,1.000000000000,0.484525514615,0.845261816762,0.441799061528,0.620113589001,0.451342118308,0.619637610494,0.470700706100,0.814231390516,0.338320655264,0.939436336318,0.278593088003,0.916342454892,0.106505758834,1.000000000000,0.087892139822,1.000000000000,0.445427929557,1.000000000000,0.496455654294,1.000000000000,0.495611321731,0.841372323465,0.562598038706,0.728969286768,0.488076184869,0.655754213581,0.359546097838,0.690208368638,0.315966320387,0.804418349028,0.289071542523,0.947018840290,0.117146906984,1.000000000000,0.182600625651,1.000000000000,0.314911352333,1.000000000000,0.376634602829,1.000000000000,0.387998046762,1.000000000000,0.529951312821,0.890217304391,0.463963764704,0.858245961778,0.347988228367,0.968138708538,0.305539056583,1.000000000000,0.219745304595,1.000000000000,0.205178990498,1.000000000000,0.000000000000,1.000000000000,0.208066480017,1.000000000000,0.366398006001,1.000000000000,0.484834821960,1.000000000000,0.550747551829,1.000000000000,0.551929020292,1.000000000000,0.462487213026,1.000000000000,0.341408622908,1.000000000000,0.250313747129,1.000000000000,0.009033395158,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.006256215192,1.000000000000,0.168214647508,1.000000000000,0.386263054666,1.000000000000,0.452533164161,1.000000000000,0.365513637324,1.000000000000,0.089622739600,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,0.982111155725,0.087739749745,0.883828261076,0.040060159605,0.831025089775,0.100392603608,0.822327327641,0.016749134665,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000,0.000000000000,1.000000000000
-0.003000000000 0.000000000000 | -7.420384450827 2.577749083245
3.370151904722 -0.958796899481 | 4.896301642042 -1.375893462044
4.793861843075 -1.396201811541 | 3.459946237182 -0.927712064663
5.600454741150 -1.719072186618 | 3.595965205533 -1.018335665660
0.813138961663 -0.211740606039 | 1.087041405659 -0.255060357039
-0.231908991256 0.130133381359 | -0.506015863623 0.232593482798
-0.483767458353 0.217595889222 | -0.789424581017 0.330035106402
-1.426339112858 0.525074200460 | -1.538275867262 0.571682279159
-1.417664102835 0.511861500380 | -2.449866999070 0.872373434464
-0.003000000000 0.000000000000 | -3.785955862795 1.315704119391
-2.291257254949 0.831959823047 | -5.899865270746 2.087664961025
0.181892460950 0.114665253992 | -0.593123573832 0.457026352527
3.539811448368 -0.929649391045 | 2.350909040129 -0.514636091605
4.046737213989 -1.153140452258 | 2.472088504487 -0.604258411840
5.157326955195 -1.612553851234 | 2.859924866934 -0.812617833503
0.146454347647 -0.019045023571 | -0.776356576343 0.303542011949
-1.442069558115 0.531639532658 | -1.517877676615 0.573046942985
-1.770502692560 0.683876171826 | -1.762169261946 0.688380953472
0.009836958553 0.093690038305 | -1.559932402927 0.641040298382
0.856313462291 -0.233085190554 | -2.414640804899 0.930220543612
-1.386130502757 0.570891283183 | -2.807767783312 1.066608740462
-0.438039086091 0.352949122501 | -2.926406949361 1.219249488354
1.374459180604 -0.224401593617 | 1.305594902427 -0.165382124477
2.985080938048 -0.794329311936 | 2.953901235700 -0.763628167138
3.049213148376 -0.908488244384 | 1.961248702963 -0.526477347887
0.383316020465 -0.073419982321 | -0.734692588063 0.318667894184
-1.815707500143 0.698335343967 | -1.965138269042 0.752600653504
-1.101101274482 0.499455516302 | -1.473700702941 0.631997552248
0.493427674521 -0.022778700878 | -1.934695864405 0.822492981702
2.588381699362 -0.746832168423 | 2.425834123716 -0.656808810350
-0.791047284685 0.403781199551 | -1.004654598353 0.497357765185
2.435006984264 -0.568840007311 | 0.693685066522 0.037914695985
1.717927422083 -0.313561809127 | 1.740562040856 -0.307573171008
2.124380161393 -0.490642819322 | 1.105975778409 -0.134877605760
2.521480733709 -0.725491165202 | 1.511391108762 -0.372613112092
0.103549018848 0.044160378879 | -0.779167358184 0.354837059936
-0.998546858497 0.486638087780 | -2.129243883475 0.881411641048
-0.020699285473 0.194348163431 | -1.308353849200 0.644137739528
1.136903517652 -0.194678845509 | 0.544499788544 0.017973235648
0.277098241043 0.012934214376 | 0.583026985690 -0.040280030522
2.993276101094 -0.793090570481 | 1.910827383065 -0.397447219079
2.059490267589 -0.400527256851 | 0.794852900686 0.040730430128
1.261329362781 -0.144692568615 | 0.169135547101 0.236899526277
0.928895728088 -0.093127291344 | 0.895946881205 -0.077649758447
0.896486191652 -0.121236573742 | 0.886838348676 -0.115736630611
0.220056208823 0.095767151893 | 0.125925500420 0.130536773135
0.740977368209 -0.044535020550 | 0.297780421087 0.119376042989
