3.106686068550 3.176499238630
0.524168785424,0.758287771928,0.467049767913,0.685272845941,0.434630376245,0.621981589880,0.170731099241,0.295021292148,0.138334314306,0.170260164907,0.197745059546,0.236217036416,0.181907715681,0.231533423652,0.213405788287,0.286085860673,0.159926347625,0.273016136509,0.259709317381,0.389459798787,0.518762480694,0.754974484502,0.732034821921,0.922621886238,0.648433032488,0.814031937647,0.486820453198,0.631690368316,0.076946975506,0.160256916458,0.080627093465,0.113809527770,0.204178065157,0.277559446715,0.344751566581,0.448351052941,0.383969370699,0.520417798001,0.393438664233,0.555913091764,0.352822562640,0.534987313693,0.785142991701,0.974378172099,0.713714604406,0.844887989828,0.502764891459,0.610804693634,0.183378365781,0.238827038111,0.144545397104,0.185542580098,0.356795624615,0.441777624276,0.454231901523,0.566620766408,0.564956646593,0.696027131631,0.205359290230,0.344517329009,0.459745666561,0.564223950592,0.597470962793,0.732998451756,0.691953004820,0.790250346758,0.633122764001,0.710581562725,0.232858165711,0.280037819794,0.233254012245,0.278118455237,0.590486031108,0.670001904787,0.658889300572,0.750485944227,0.486202210199,0.589794224395,0.284988278105,0.361705068238,0.460482345949,0.568455859197,0.847916394676,0.971314763966,0.859746200807,0.947099499376,0.626808797605,0.669401161379,0.508836112025,0.530884110198,0.522347659787,0.543521776858,0.644502810950,0.688185381468,0.602507352392,0.671476124382,0.596867012126,0.675509361522,0.464893175869,0.590746965417,0.656689894456,0.812932107819,0.849620706232,0.961493772139,0.771015256933,0.856809088718,0.627502849400,0.667847993835,0.640216998796,0.660294643914,0.552213038796,0.572158790290,0.465370357330,0.505307417340,0.476347891204,0.534645288948,0.522404718297,0.602725463549,0.708824191376,0.848790569282,0.759303845145,0.945530045976,0.741153284659,0.875990341617,0.690911194150,0.789142289671,0.609613285971,0.692051293115,0.693518285642,0.736959862287,0.607147814252,0.654200258391,0.546948720112,0.621076965608,0.588805237645,0.693864860169,0.556022123344,0.672043039380,0.617857969127,0.746354062006,0.764233299811,0.985843968705,0.826793665079,1.000000000000,0.811335743459,0.954029470129,0.926922297490,1.000000000000,0.847418885721,0.931504677713,0.820904759779,0.900252396940,0.854520715572,0.967445432587,0.857258392979,1.000000000000,0.698095483384,0.844071261408,0.614114463541,0.793699280021,0.476181281006,0.619025175077,0.384056173332,0.565255957389,0.370849435369,0.504248660873,0.553899471093,0.679261192501,0.836741794827,0.963803622063,0.919271423995,1.000000000000,0.827572098141,0.976884177162,0.570322412533,0.718496488838,0.556491977722,0.693449819564,0.397195364691,0.542155173966,0.425966741980,0.612021519810,0.421284131890,0.572411306150,0.417974426301,0.544073279029,0.382654805268,0.485698525060,0.400305071848,0.482317943009,0.323791055650,0.390477828577,0.300585779651,0.419733521702,0.388452190284,0.563872444994,0.547887870802,0.759335272692,0.378315034215,0.549879666841
1.069276946040 -0.162397616196 | -8.919481905207 3.054823226725
5.782556430461 -1.664386027743 | 4.985454224372 -1.404287568075
5.795591583250 -1.684648026590 | 2.570758294358 -0.644674751787
6.657684660586 -2.055598921944 | 4.266681233159 -1.284024409887
0.794819450324 -0.205907043155 | 0.144249923914 0.005806073903
-0.201658762024 0.130722613115 | -1.056115558425 0.407695654040
-0.486013420038 0.218310801031 | -0.596825369597 0.255823434231
-1.283773987553 0.484896361727 | -2.357477971345 0.832442407672
-1.114304203549 0.415299045366 | -2.837178010031 0.971806934602
-1.607630431295 0.603654615392 | -6.270552994142 2.106540645625
-5.381896460556 1.906151191920 | -9.481905146592 3.227842257768
1.951851914777 -0.365114188173 | -0.515067207439 0.432166101292
3.219742066861 -0.796282454555 | 2.338436734029 -0.510666033270
4.739959925269 -1.336907737381 | 2.273223619146 -0.540957752821
5.472205902240 -1.712782933029 | 2.800239200638 -0.850769474457
0.307991027487 -0.070463745745 | -0.630168190738 0.233452705521
-1.456899913572 0.536362340649 | -1.852179624124 0.665251653678
-1.764294240221 0.685111357522 | -2.415106672777 0.895830044884
-2.256244850091 0.858580724437 | -2.728569511333 1.012124444347
3.263469886280 -0.899853882948 | -2.387073021504 0.921440408065
-1.296378161346 0.542322225604 | -3.917643915696 1.388013487607
-1.445925314210 0.732263167652 | -5.297096788514 1.973852395426
2.065748095625 -0.412453050603 | 1.333613963897 -0.174304932674
3.102589210288 -0.813315100205 | 2.966673182215 -0.767695451225
3.048406221358 -0.908231398332 | 1.884750348435 -0.531703004714
0.383347105133 -0.073429866062 | -0.739212706943 0.289859432849
-1.902010087932 0.729781205247 | -2.224874882938 0.835277385511
-1.174695353677 0.532117157763 | -1.627749278346 0.679501935367
1.082349186106 -0.152934967677 | -2.586278011261 1.029893045700
6.544711042596 -2.006125146914 | 3.871170200048 -1.143604612425
-0.459905684410 0.305113943711 | -1.985909402506 0.798250315543
2.871462581203 -0.707768138697 | 0.284690841976 0.126821139154
1.706553688800 -0.309939810651 | 1.250930293333 -0.161690725665
2.064063132024 -0.446171378235 | 0.837104995425 -0.049293377431
2.700738182888 -0.782550583447 | 1.528301816441 -0.403222435704
0.102434518723 0.044515160164 | -0.947817049821 0.384548004739
-1.097809702584 0.546811256923 | -2.313321255278 0.940005288316
0.358006829275 0.105807955913 | -1.307893235143 0.643991011047
2.517714038894 -0.634204485367 | 1.359971928120 -0.259605356658
0.233890603633 0.026694776375 | -0.231557717442 0.179172798799
2.979982149132 -0.788856303559 | 1.369674854525 -0.268299868686
2.050344876967 -0.367150427457 | 0.287227527688 0.202312604831
1.407513425583 -0.163695796240 | 0.157620485281 0.240564884294
1.028545482733 -0.122650868565 | 0.884291781121 -0.074435809462
0.920202756336 -0.128703774293 | 0.923984257656 -0.127990388043
0.170832634628 0.114071906932 | 0.069809970293 0.148398901143
0.929692975892 -0.085262150344 | 0.299650881164 0.118780657054
