-0.034906585040 0.034906585040
0.378315034215,0.549879666841,0.547887870802,0.759335272692,0.388452190284,0.563872444994,0.300585779651,0.419733521702,0.323791055650,0.390477828577,0.400305071848,0.482317943009,0.382654805268,0.485698525060,0.417974426301,0.544073279029,0.421284131890,0.572411306150,0.425966741980,0.612021519810,0.397195364691,0.542155173966,0.556491977722,0.693449819564,0.570322412533,0.718496488838,0.827572098141,0.976884177162,0.919271423995,1.000000000000,0.836741794827,0.963803622063,0.553899471093,0.679261192501,0.370849435369,0.504248660873,0.384056173332,0.565255957389,0.476181281006,0.619025175077,0.614114463541,0.793699280021,0.698095483384,0.844071261408,0.857258392979,1.000000000000,0.854520715572,0.967445432587,0.820904759779,0.900252396940,0.847418885721,0.931504677713,0.926922297490,1.000000000000,0.811335743459,0.954029470129,0.826793665079,1.000000000000,0.764233299811,0.985843968705,0.617857969127,0.746354062006,0.556022123344,0.672043039380,0.588805237645,0.693864860169,0.546948720112,0.621076965608,0.607147814252,0.654200258391,0.693518285642,0.736959862287,0.609613285971,0.692051293115,0.690911194150,0.789142289671,0.741153284659,0.875990341617,0.759303845145,0.945530045976,0.708824191376,0.848790569282,0.522404718297,0.602725463549,0.476347891204,0.534645288948,0.465370357330,0.505307417340,0.552213038796,0.572158790290,0.640216998796,0.660294643914,0.627502849400,0.667847993835,0.771015256933,0.856809088718,0.849620706232,0.961493772139,0.656689894456,0.812932107819,0.464893175869,0.590746965417,0.596867012126,0.675509361522,0.602507352392,0.671476124382,0.644502810950,0.688185381468,0.522347659787,0.543521776858,0.508836112025,0.530884110198,0.626808797605,0.669401161379,0.859746200807,0.947099499376,0.847916394676,0.971314763966,0.460482345949,0.568455859197,0.284988278105,0.361705068238,0.486202210199,0.589794224395,0.658889300572,0.750485944227,0.590486031108,0.670001904787,0.233254012245,0.278118455237,0.232858165711,0.280037819794,0.633122764001,0.710581562725,0.691953004820,0.790250346758,0.597470962793,0.732998451756,0.459745666561,0.564223950592,0.205359290230,0.344517329009,0.564956646593,0.696027131631,0.454231901523,0.566620766408,0.356795624615,0.441777624276,0.144545397104,0.185542580098,0.183378365781,0.238827038111,0.502764891459,0.610804693634,0.713714604406,0.844887989828,0.785142991701,0.974378172099,0.352822562640,0.534987313693,0.393438664233,0.555913091764,0.383969370699,0.520417798001,0.344751566581,0.448351052941,0.204178065157,0.277559446715,0.080627093465,0.113809527770,0.076946975506,0.160256916458,0.486820453198,0.631690368316,0.648433032488,0.814031937647,0.732034821921,0.922621886238,0.518762480694,0.754974484502,0.259709317381,0.389459798787,0.159926347625,0.273016136509,0.213405788287,0.286085860673,0.181907715681,0.231533423652,0.197745059546,0.236217036416,0.138334314306,0.170260164907,0.170731099241,0.295021292148,0.434630376245,0.621981589880,0.467049767913,0.685272845941,0.524168785424,0.758287771928
0.416596307107 0.439468890207 | 0.484132075472 2.199906667659
0.609237536488 -1.056173225570 | 0.691679245283 1.131230129172
0.458235331001 -1.495586364479 | 0.469981132075 -1.419931007830
0.336622641509 -1.371639900285 | 0.359212441119 -0.897062057742
0.350773584906 -0.254488852978 | 0.366300725248 -0.023941083699
0.435387765214 0.382821210174 | 0.446396226415 0.584886195678
0.425635058172 0.533345809938 | 0.432283040953 0.550434271168
0.464648249260 0.683066462780 | 0.498283018868 1.473691322764
0.477615388041 0.875010087059 | 0.517150943396 1.834546088129
0.454101992610 0.065439831053 | 0.545452830189 2.507498312599
0.459264150943 0.539478477087 | 0.467788828446 0.611124821888
0.619641509434 0.014997905768 | 0.629050980058 0.064798520094
0.633792452830 -0.700176266682 | 0.659602775673 -0.133214002748
0.882042149216 0.159920731077 | 0.913377358491 0.884805599926
0.967862877212 -0.103465831523 | 0.988849056604 0.325860493520
0.890129563043 -0.544500305346 | 0.913377358491 -0.050940890858
0.605490566038 -0.755481141893 | 0.624178614004 -0.392558240133
0.416811320755 -0.775683071828 | 0.459029911958 0.260474108893
0.440396226415 -0.161318211348 | 0.485406742485 0.954912716364
0.529837254476 -0.059448221703 | 0.550169811321 0.350389854661
0.668532918749 0.468763566228 | 0.724698113208 1.904129899724
0.760171430552 0.282281655540 | 0.781301886792 0.715106252413
0.910682874588 0.204667144352 | 0.951113207547 1.189901830683
0.902101579483 0.153395411906 | 0.918094339623 0.427965744669
0.855490566038 -0.010250856087 | 0.863186508944 0.057320170628
0.883792452830 0.058686056991 | 0.891382008070 0.118398033872
0.969104461161 0.004575480262 | 1.003000000000 0.802693213711
0.868767298925 0.300219256862 | 0.894509433962 0.865033818441
0.897885473411 0.635606611784 | 0.946396226415 1.851945055654
0.827187023475 -0.395542033872 | 0.899226415094 1.453516402269
0.673824308269 0.280654755897 | 0.686962264151 0.485145926581
0.600773584906 0.044416125673 | 0.618205682437 0.349600156942
0.629075471698 0.372490359624 | 0.639019331056 0.530571109861
0.572471698113 0.063497853448 | 0.587336023970 0.317153751821
0.624358490566 0.112879954380 | 0.631928112950 0.177978721294
0.711661986929 -0.045995938792 | 0.719981132075 0.049839342485
0.638509433962 -0.628618410679 | 0.658138156020 -0.238672357568
0.732849056604 -0.248563740040 | 0.748584239238 0.012118125131
0.798886792453 -0.391079060374 | 0.819310677220 0.021679349798
0.834343285550 -0.925401443694 | 0.870924528302 -0.050239571608
0.755661319257 0.470234267395 | 0.800169811321 1.571968738026
0.553603773585 -0.383892341536 | 0.568718667061 -0.122775828045
0.497000000000 -0.366854525653 | 0.514941845215 -0.025177991274
0.478132075472 -0.292264027490 | 0.489651304277 -0.055242461792
0.560287746676 0.054044033731 | 0.561972852654 0.064956304419
0.649342687387 -0.027571414746 | 0.653922228158 0.011908903684
0.643226415094 0.004543425776 | 0.648715567046 0.041624526776
0.808320754717 0.274376612234 | 0.814557094932 0.282221360032
