1.535889741755 1.605702911835
0.425966741980,0.612021519810,0.476181281006,0.619025175077,0.764233299811,0.985843968705,0.759303845145,0.945530045976,0.656689894456,0.812932107819,0.460482345949,0.568455859197,0.459745666561,0.564223950592,0.352822562640,0.534987313693,0.518762480694,0.754974484502,0.524168785424,0.758287771928,0.421284131890,0.572411306150,0.384056173332,0.565255957389,0.826793665079,1.000000000000,0.741153284659,0.875990341617,0.849620706232,0.961493772139,0.847916394676,0.971314763966,0.597470962793,0.732998451756,0.785142991701,0.974378172099,0.732034821921,0.922621886238,0.467049767913,0.685272845941,0.417974426301,0.544073279029,0.370849435369,0.504248660873,0.811335743459,0.954029470129,0.690911194150,0.789142289671,0.771015256933,0.856809088718,0.859746200807,0.947099499376,0.691953004820,0.790250346758,0.713714604406,0.844887989828,0.648433032488,0.814031937647,0.434630376245,0.621981589880,0.382654805268,0.485698525060,0.553899471093,0.679261192501,0.926922297490,1.000000000000,0.609613285971,0.692051293115,0.627502849400,0.667847993835,0.626808797605,0.669401161379,0.633122764001,0.710581562725,0.502764891459,0.610804693634,0.486820453198,0.631690368316,0.170731099241,0.295021292148,0.400305071848,0.482317943009,0.836741794827,0.963803622063,0.847418885721,0.931504677713,0.693518285642,0.736959862287,0.640216998796,0.660294643914,0.508836112025,0.530884110198,0.232858165711,0.280037819794,0.183378365781,0.238827038111,0.076946975506,0.160256916458,0.138334314306,0.170260164907,0.323791055650,0.390477828577,0.919271423995,1.000000000000,0.820904759779,0.900252396940,0.607147814252,0.654200258391,0.552213038796,0.572158790290,0.522347659787,0.543521776858,0.233254012245,0.278118455237,0.144545397104,0.185542580098,0.080627093465,0.113809527770,0.197745059546,0.236217036416,0.300585779651,0.419733521702,0.827572098141,0.976884177162,0.854520715572,0.967445432587,0.546948720112,0.621076965608,0.465370357330,0.505307417340,0.644502810950,0.688185381468,0.590486031108,0.670001904787,0.356795624615,0.441777624276,0.204178065157,0.277559446715,0.181907715681,0.231533423652,0.388452190284,0.563872444994,0.570322412533,0.718496488838,0.857258392979,1.000000000000,0.588805237645,0.693864860169,0.476347891204,0.534645288948,0.602507352392,0.671476124382,0.658889300572,0.750485944227,0.454231901523,0.566620766408,0.344751566581,0.448351052941,0.213405788287,0.286085860673,0.547887870802,0.759335272692,0.556491977722,0.693449819564,0.698095483384,0.844071261408,0.556022123344,0.672043039380,0.522404718297,0.602725463549,0.596867012126,0.675509361522,0.486202210199,0.589794224395,0.564956646593,0.696027131631,0.383969370699,0.520417798001,0.159926347625,0.273016136509,0.378315034215,0.549879666841,0.397195364691,0.542155173966,0.614114463541,0.793699280021,0.617857969127,0.746354062006,0.708824191376,0.848790569282,0.464893175869,0.590746965417,0.284988278105,0.361705068238,0.205359290230,0.344517329009,0.393438664233,0.555913091764,0.259709317381,0.389459798787
0.351309346365 0.065439831053 | -3.393316308687 2.507498312599
0.623218302761 -0.059448221703 | -0.000208896875 0.350381967928
1.448502997374 -0.395542033872 | -1.386056186257 1.454856654520
2.287960474115 -0.925401443694 | 0.949840662844 -0.050239571608
2.298764046614 -1.004278204711 | 1.808726604636 -0.681105201089
1.740849565132 -0.788856303559 | 0.948230406313 -0.268299868686
0.019366177625 0.305113943711 | -0.732020738989 0.798250315543
-0.444500401428 0.542322225604 | -1.737357427821 1.388013487607
-2.387721169973 1.906151191920 | -4.411622384617 3.227842257768
0.814183367039 -0.162397616196 | -4.120976801660 3.054823226725
-0.896847242620 0.875010087059 | -2.364565462738 1.834557642501
0.693794280246 -0.161318211348 | -1.014566644790 0.954912716364
-0.100523057666 0.635606611784 | -1.962632264432 1.851945055654
1.413182601698 -0.391072858248 | 0.785256834191 0.021679349798
0.603619954008 0.187947613718 | 0.238708318524 0.429507650647
1.473626334136 -0.367150427457 | 0.605019424222 0.202312604831
1.759702988715 -0.707768138697 | 0.483901021518 0.126821139154
-0.295689020215 0.732263167652 | -2.196576696144 1.973852395426
1.378331889134 -0.365114188173 | 0.163777717035 0.432166101292
3.168144971713 -1.664386027743 | 2.779797688630 -1.404410574444
-0.608310041431 0.683066462780 | -1.816585897760 1.473691322764
1.635251440740 -0.775683071828 | 0.049878138483 0.260474108893
0.397183993013 0.300219256862 | -0.464282510598 0.865033818441
1.123292066433 -0.248563740040 | 0.729549132795 0.012118125131
0.377330980062 0.274376612234 | 0.371244819250 0.282221360032
1.150380670137 -0.163695796240 | 0.535498921886 0.240564884294
1.219790176479 -0.309996344891 | 0.996947095382 -0.161690725665
1.417868358762 -0.412453050603 | 1.059816415911 -0.174304932674
1.968944512154 -0.796282454555 | 1.536284404751 -0.510666033270
3.149352651140 -1.684648026590 | 1.558105562273 -0.644674751787
-0.412142580991 0.533345809938 | -0.432337090340 0.550434271168
1.792197568685 -0.755481141893 | 1.240807655658 -0.392558240133
0.961917313573 0.004575480262 | -0.257867551640 0.802693213711
1.625940924412 -0.628618410679 | 1.033043818596 -0.238672357568
0.636089618574 0.004543425776 | 0.583331913281 0.041624526776
0.835885948914 -0.122650868565 | 0.767368285035 -0.074435809462
1.363218769971 -0.446171378235 | 0.759682925032 -0.049298334031
1.825036838359 -0.813315100205 | 1.760779987334 -0.767695451225
2.639950162128 -1.336907737381 | 1.423504784360 -0.540967694464
3.428757424633 -2.055598921944 | 2.249740406594 -1.284024409887
-0.165946385546 0.382821210174 | -0.472340861349 0.584886195678
1.745428642620 -0.544500305346 | 0.993395122734 -0.050940890858
0.791608610075 0.058686056991 | 0.705402811364 0.118398033872
0.783912238631 -0.045995938792 | 0.641693675970 0.049839342485
0.692651764394 -0.027571414746 | 0.635215765994 0.011908903684
0.718035340432 -0.128703774293 | 0.722937426253 -0.127990388043
1.471510600878 -0.782550583447 | 0.894921495555 -0.403222435704
1.621759676978 -0.908231398332 | 1.049553221684 -0.531703004714
2.781757996782 -1.712773532919 | 1.463853635212 -0.850769474457
0.472514004276 -0.206628066614 | 0.153370083474 0.005806073903
0.750717235777 -0.254612035978 | 0.403907291582 -0.023941083699
1.130386625317 -0.103465831523 | 0.476995896864 0.325855842039
0.871567753056 -0.010235055140 | 0.773148195470 0.057320170628
0.447043206125 0.112882416018 | 0.352359791293 0.177978721294
0.475395577006 0.054044033731 | 0.459939728270 0.064956304419
0.350016367028 0.114071906932 | 0.302914419109 0.148398901143
0.172358768796 0.044515160164 | -0.343770456501 0.384548004739
0.267723919341 -0.073251725905 | -0.283902574536 0.289859432849
0.197306834498 -0.070463745745 | -0.263461538426 0.233452705521
0.003679838486 0.130722613115 | -0.415708722609 0.407695654040
2.491189558563 -1.371639900285 | 1.768314226326 -0.897062057742
0.630839252262 0.159920731077 | -0.476472027800 0.884805599926
0.661148629914 0.153395411906 | 0.245537308560 0.428163104020
0.472703979461 0.063514102338 | 0.089152075580 0.317153751821
0.937240235702 -0.292277332458 | 0.576425960344 -0.055242461792
0.795763503317 -0.085262150344 | 0.486231100960 0.118780657054
-0.238880588760 0.546811256923 | -0.836780074202 0.940015266044
-0.755672451366 0.729781205247 | -0.912824233922 0.835277385511
-0.614383919050 0.536362340649 | -0.807204770133 0.665251653678
-0.143091615679 0.218310801031 | -0.194978858799 0.255823434231
2.807496898729 -1.495586364479 | 2.700403543478 -1.419931007831
1.733626760643 -0.700176266682 | 0.868854841868 -0.133214002748
0.589192476025 0.204667144352 | -0.917980217336 1.189901830683
0.044927560758 0.371880110092 | -0.194399819416 0.530571109861
1.073253741363 -0.366854525653 | 0.554491341425 -0.025177991274
1.055979659905 -0.269799405377 | 0.961564981356 -0.204846753864
0.524209577769 0.105807955913 | -0.296314520501 0.643991011047
-0.338847676839 0.532117157763 | -0.560390134222 0.679501935367
-0.688123836381 0.685111357522 | -1.007940128841 0.895830044884
-0.522100563675 0.484896361727 | -1.049880495107 0.832442407672
2.268270559673 -1.056173225570 | -1.085233962448 1.131218081823
0.596082854144 0.014997905768 | 0.527265702713 0.064798520094
0.316764442908 0.282281655540 | -0.341984387767 0.715106252413
0.532213575395 0.043646657648 | 0.069055040066 0.349600156942
1.156620453555 -0.383892341536 | 0.761574486774 -0.122775828045
0.584222595652 0.026588097619 | 0.039899460256 0.384906663832
1.521507962843 -0.634204485367 | 0.952184787466 -0.259605356658
0.842119500641 -0.152934967677 | -0.968525798083 1.029893045700
-0.907589401888 0.858580724437 | -1.138728151893 1.012124444347
-0.461953988567 0.415299045366 | -1.310667246805 0.971806934602
-0.273719811370 0.439468890207 | -2.971491461759 2.199918269660
-0.388146659250 0.539478477087 | -0.492163796989 0.611124821888
-0.067799169216 0.468763566228 | -2.266302139020 1.904129899724
0.232972848609 0.280654755897 | -0.075091761880 0.485138660584
0.017019059300 0.470234267395 | -1.669072908207 1.571968738026
-0.786842120134 0.829330972094 | -0.911782395605 0.914119525442
0.275822660307 0.026694776375 | 0.049886256773 0.179172798799
3.393497030732 -2.006125146914 | 2.074800275545 -1.143604612425
1.849982712293 -0.899853882948 | -0.940785377145 0.922145892297
-0.659411978784 0.603654615392 | -2.961582865389 2.106525481112
SPEC_FINISHED
